gene	cluster	weight
SERPING1	pericyte	5.5959248542785645
CRIP1	pericyte	5.593545913696289
ARHGAP1	pericyte	5.58878755569458
MYL6B	pericyte	5.582839488983154
COX7A1	pericyte	5.580460071563721
CSRP2	pericyte	5.5768914222717285
JAG1	pericyte	5.541203022003174
CLMN	pericyte	5.4698262214660645
EHD2	pericyte	5.429379463195801
LGALS1	pericyte	5.400828838348389
TGFBI	pericyte	5.378226280212402
ADAMTS4	pericyte	5.373467922210693
PKIG	pericyte	5.366330146789551
C1QTNF1	pericyte	5.355623722076416
CNR1	pericyte	5.3199357986450195
TM4SF1	pericyte	5.316366672515869
PALLD	pericyte	5.313987731933594
CBX6	pericyte	5.300901889801025
NTRK2	pericyte	5.2806782722473145
MAP7D3	pericyte	5.246179580688477
PPP1R12A	pericyte	5.235473155975342
NDRG2	pericyte	5.205732822418213
