	Control1	Control2	Control3	Control4	Control5	Control6	Control7	Control8	Control9	WB-2312090003	WH-2401230003	JM-2402070001	AY-2402230001	RP-2403190005	MW-2403190010	CM-2403190012	HF-2403200009	LS-2403210007	VG-2403270009	JH-2403270011	GT-2403270013	JP-2404030013	MB-2404030014	RO-2404040005	MD-2404240003	CD-2405010006	NC-2406110009	SC-2501240001	ES-2501240011	AM-2502190008	CD-2502260006	MW-2503010003	HB-2503080013	DS-2504260005	SP-2505030001	RW-2504190007	AY-2505100001	MD-2505140007	WB-2505240010	CI-2505310003	JD-2505310009	RA-2506040002	CM-2506190001	MC-2506190003	MA-2506250016	NB-2506280003	KS-2506280009	GT-2509040001	EC-2509040003	RF-2509060008	HF-2509100003	RO-2509150003	PW-2509150011	SC-2509220001
capillary.endothelial.cell	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CD4.positive..alpha.beta.T.cell	0.171023265378842	0.198917655273099	0.20963115035269	0.179042002464004	0.241904351476747	0.174827784856401	0.208505004433502	0.24900783538091	0.297772089885734	0.0935558077874027	0.0403481223066958	0.18547419042419	0.111545056165441	0.148700541807877	0.0373709802104816	0.0	0.108654856124733	0.230541149143194	0.110140152281876	0.0	0.0844604136440686	0.241842485116782	0.107428857604736	0.176223596114323	0.0604012238757393	0.0	0.0088982241843857	0.0656001496833983	0.163683217992392	0.189121462545966	0.233826585821607	0.254932987907364	0.137079260366131	0.13195981988265	0.238143252098775	0.190872589884029	0.170347928808968	0.118876564569329	0.181222681909832	0.26219645152155	0.250587964288528	0.233562539387481	0.118936851929319	0.0787367200468329	0.231884793486622	0.150841427668293	0.181135073822043	0.129866097561722	0.125872124381565	0.259208261374935	0.217265679388546	0.120368370026984	0.246108532162273	0.0773014313210389
CD8.positive..alpha.beta.T.cell	0.20167918400848	0.186927246434648	0.185877170432731	0.191177034807832	0.183771306818653	0.214198266804325	0.21951786167307	0.188734528376731	0.187336096846585	0.266493840602925	0.239636416600589	0.196924604014397	0.221361226703036	0.185623441155781	0.225716289957246	0.204435930072793	0.168831402368359	0.217377744955538	0.209196934361002	0.149197828819294	0.19788689534485	0.19252880193031	0.203340446511894	0.209281494142936	0.223681157327062	0.197055665294286	0.204694287276688	0.207428422737252	0.1834773688774	0.149493776265558	0.139082397172571	0.178377230969906	0.186102046205748	0.165134156299804	0.143679156531443	0.137121527604407	0.16234440540353	0.171380839312261	0.15830346156303	0.148169458399877	0.119291004493705	0.143735233501086	0.19779044039898	0.175731693244246	0.192118490658807	0.202653341386021	0.229320308972526	0.159171332280289	0.195847217800992	0.178939869701563	0.124066228612972	0.19136966722286	0.170258743186325	0.190362057935829
endothelial.cell	0.046894297046341	0.0612530385906368	0.0723802258939053	0.0577402523357129	0.0614434095005842	0.0576346784916398	0.0383917226363643	0.0741276844223562	0.0665630004770189	0.105041074003384	0.0380369054156165	0.0139748148899902	0.0	0.0293362725038071	0.0374457170790815	0.0	0.037650326657234	0.0960462981469186	0.0145504969545621	0.0	0.0	0.0616166126926684	0.0078380991435495	0.0	0.0	0.0	0.0	0.0	0.0537170017446834	0.0036172988331954	0.0474705844085907	0.0345741382098641	0.0772939153625913	0.0393008009333895	0.0537198626979678	0.0096540105732944	0.0173861123906104	0.0211704982283722	0.0453117664658621	0.0724220336332645	0.0663343031365076	0.0935318855500503	0.0116555896474479	0.0	0.04461073175081	0.0124527676581027	0.0789676849152157	0.0356988599977973	0.0635137794670291	0.0791951246923002	0.0597703386403123	0.0262205010946565	0.0736624618095026	0.0
endothelial.cell.of.artery	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
fibroblast	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
macrophage	0.401347594197615	0.384871244012742	0.367840572841351	0.403640152331757	0.354018662807152	0.378274413913525	0.373619045595898	0.344371277728334	0.326766791996306	0.38742467643727	0.459574180908088	0.414344270387208	0.462160866218509	0.464434635993598	0.460636968721461	0.523996204994411	0.466725627343288	0.31377114469756	0.429825289356146	0.524317501067376	0.48465288651695	0.368229149527706	0.438950115636522	0.434884447937743	0.457193304289349	0.500577786037483	0.507788743392928	0.49378253534953	0.406077362345554	0.414780005986045	0.393805603688313	0.383245901820598	0.423488578160409	0.449689338632469	0.374938445400657	0.462791763698565	0.439385022914616	0.454899931844213	0.406550993978498	0.368194517925242	0.373986191150072	0.379338824557948	0.446495143302362	0.498140750359879	0.362032549811032	0.435142067714391	0.344696354911052	0.451515199654984	0.405855239054879	0.332248769617786	0.416085856529816	0.409860205369856	0.34188160664596	0.505262215654849
mast.cell	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0043635088237625	0.004698781611492	0.0181560781697841	0.0	0.0	0.0414862490877809	0.025864532505433	0.0	0.0281246505745589	0.0	0.0166265661777926	0.0	0.0508606029104326	0.0132637852309927	0.0228059375577508	0.0657844368361505	0.0211962850584024	0.0326706174239743	0.0277256215284912	0.0475473527917408	0.0208848847802638	0.0	0.0188141955874028	0.0289416255786725	0.0265168854053445	0.0442221986693154	0.0420217118962738	0.0453695015386308	0.0452135971361807	0.0091557822548008	0.0147277891080169	0.0	0.0182941506464997	0.0308582835736303	0.0017152916234149	0.0006523466958637	0.0	0.0284257540539662	0.0207539953559005	0.0109770781596611	0.0183517064986679	0.0390119279339465	0.00906892664097	0.0392787670046631
natural.killer.cell	0.0570289086515225	0.0522430585157821	0.045654571869394	0.050013294775687	0.0561559089220422	0.0553586328795931	0.0550797489937698	0.0315120281057227	0.0389934936174371	0.0418731264815654	0.0592607862948406	0.0528611996490269	0.0444978209107119	0.0493297346183928	0.0740865051927963	0.0753890134342622	0.0450973802081913	0.0393241210999003	0.0647553405943626	0.0666462045789232	0.0468945067721431	0.0399999603359727	0.0439545336547874	0.0415023555048777	0.0716690815898812	0.0693838951761438	0.0685154899334511	0.0468276167314041	0.0400826778536087	0.0359618449105658	0.0276780597211251	0.0068740505527195	0.0355523568565664	0.026737095078701	0.0277145059196086	0.0378253435568294	0.0187863369436104	0.0392776387654312	0.0328617075950666	0.021703843915994	0.0206294803020037	0.0394888429132241	0.0524258724465132	0.053504591428982	0.0440570562248787	0.0488217340251318	0.0494248285586102	0.0390353018386205	0.0407244182790872	0.0277026760473238	0.0299497043689575	0.036582935558668	0.0295285017876034	0.050301721907178
neutrophil	0.0930927018682903	0.0900814872919457	0.0816141812977844	0.08653082783807	0.0731403979614741	0.078997638473893	0.0474609042955063	0.0743948038953985	0.0500704300057418	0.105611474687453	0.129599252730673	0.074891685955267	0.0601559017040301	0.0777212213747886	0.123279186672596	0.103264033039801	0.0920389127743751	0.0749867855882952	0.0846017318476173	0.17999639390456	0.082005968692279	0.0642976005940804	0.0898927034012075	0.0175245092479641	0.0974637165551146	0.1328000751484	0.0934344731768117	0.0614364422060049	0.117684262125383	0.0752236555187592	0.0757751387377236	0.0552916448394503	0.0934131627580212	0.106554077442196	0.0791531438685354	0.0671079331821841	0.0741924514568756	0.113428275829198	0.0883768938663391	0.0819213346306076	0.10111072307918	0.0974750403985862	0.0907196830507449	0.0998664004240289	0.0773562617184632	0.0890920174270653	0.0832611809650097	0.101829365185617	0.130871850612981	0.0826481058598967	0.0948169558874039	0.137769505074162	0.106445713759924	0.0599997647496565
pericyte	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
smooth.muscle.cell	0.0289340488489085	0.0257062698811459	0.0370021273121434	0.0318564354469366	0.0295659625133477	0.0407085845806229	0.057425712371889	0.0378518420905474	0.0324980971711764	0.0	0.0229779947958101	0.0568304530684296	0.0821230501284876	0.0448541525457557	0.0414643521663377	0.0514285693709513	0.0551369620183862	0.0279527563685931	0.0588054040298749	0.0798420716298473	0.087472762851916	0.0314853898024802	0.0567352480081566	0.0979255408725346	0.065050096336035	0.0343981415075375	0.0954724969773331	0.0922542158684362	0.0075524875324884	0.084254603148169	0.0614767456698056	0.0867040457000982	0.02825648470313	0.0516830861521175	0.056134748077669	0.0499082541793594	0.0739134812283445	0.0355967499125647	0.0421588974851909	0.0362365777186642	0.0533325444419864	0.0128676336916242	0.0636822685781339	0.060391356615168	0.0462248247259714	0.0603442974251315	0.0331945678555431	0.0516972826618795	0.0165613750475673	0.0290801145465335	0.0396935300733247	0.0388168877188678	0.0230455140074415	0.0568241746064444
vein.endothelial.cell	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0062028321239243	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000999393128714	0.0093942709486281	0.0017354824690681	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0004963786520155	0.0016225489571721	0.0	0.0	0.0	0.0	0.0	0.0	0.0027702043072332	0.0	0.0	0.0	0.0027608067651253	0.0	0.0	0.0	0.0	0.0	0.0206698668203411
